BULLISH STOCK SCAN - 2026-03-30 08:35 UTC
Criteria: MACD bull cross (daily), RSI 40-70, Volume >1.2x avg, RS vs SPY
============================================================

TOP 5 BY RS vs SPY (no full signals found):
------------------------------------------------------------
1. AMAT | Price:$339.18 | RSI:46.7 | RS vs SPY:+32.6% | no cross
2. COST | Price:$990.33 | RSI:46.0 | RS vs SPY:+22.4% | no cross
3. MU | Price:$353.9 | RSI:37.5 | RS vs SPY:+18.5% | no cross
4. KO | Price:$75.82 | RSI:39.3 | RS vs SPY:+16.8% | no cross
5. INTC | Price:$43.38 | RSI:40.7 | RS vs SPY:+16.5% | no cross

============================================================

ALL STOCKS SCANNED:
AMAT   | $  339.18 | RSI: 46.7 | RS: +32.6% | Vol:0.03x | MACD: 
COST   | $  990.33 | RSI: 46.0 | RS: +22.4% | Vol:0.03x | MACD: 
MU     | $  353.90 | RSI: 37.5 | RS: +18.5% | Vol:0.13x | MACD: 
KO     | $   75.82 | RSI: 39.3 | RS: +16.8% | Vol:0.08x | MACD: 
INTC   | $   43.38 | RSI: 40.7 | RS: +16.5% | Vol:0.04x | MACD: 
PEP    | $  154.01 | RSI: 32.3 | RS: +15.6% | Vol:0.04x | MACD: 
TXN    | $  191.53 | RSI: 42.3 | RS: +14.9% | Vol:0.05x | MACD: 
NFLX   | $   93.17 | RSI: 37.2 | RS:  +8.7% | Vol:0.06x | MACD: 
AMD    | $  206.43 | RSI: 52.3 | RS:  -1.3% | Vol:0.07x | MACD: 
AAPL   | $  247.63 | RSI: 28.9 | RS:  -2.2% | Vol:0.04x | MACD: 
AMZN   | $  201.69 | RSI: 37.6 | RS:  -4.6% | Vol:0.05x | MACD: 
GS     | $  809.85 | RSI: 42.5 | RS:  -4.6% | Vol:0.03x | MACD: 
NVDA   | $  168.00 | RSI: 28.5 | RS:  -4.7% | Vol:0.08x | MACD: 
JPM    | $  285.66 | RSI: 45.8 | RS:  -5.5% | Vol:0.06x | MACD: 
GOOGL  | $  275.23 | RSI: 22.2 | RS:  -6.3% | Vol:0.07x | MACD: 
MA     | $  490.23 | RSI: 36.4 | RS:  -6.5% | Vol:0.03x | MACD: 
AVGO   | $  302.14 | RSI: 25.3 | RS:  -6.8% | Vol:0.06x | MACD: 
V      | $  298.82 | RSI: 32.2 | RS:  -7.3% | Vol:0.04x | MACD: 
BAC    | $   47.53 | RSI: 42.8 | RS:  -8.2% | Vol:0.07x | MACD: 
DIS    | $   93.90 | RSI: 24.0 | RS:  -9.7% | Vol:0.04x | MACD: 
TSLA   | $  364.33 | RSI: 34.0 | RS: -10.5% | Vol:0.06x | MACD: 
IBM    | $  238.86 | RSI: 39.0 | RS: -11.3% | Vol:0.02x | MACD: 
WFC    | $   77.74 | RSI: 48.0 | RS: -11.6% | Vol:0.02x | MACD: 
META   | $  532.50 | RSI: 18.1 | RS: -11.7% | Vol:0.14x | MACD: 
PYPL   | $   44.56 | RSI: 48.1 | RS: -16.8% | Vol:0.04x | MACD: 
MSFT   | $  359.95 | RSI: 13.8 | RS: -17.4% | Vol:0.06x | MACD: 
QCOM   | $  128.05 | RSI: 31.6 | RS: -19.2% | Vol:0.11x | MACD: 
CRM    | $  182.60 | RSI: 37.6 | RS: -21.7% | Vol:0.03x | MACD: 
ADBE   | $  239.59 | RSI: 23.2 | RS: -21.8% | Vol:0.03x | MACD: 
ORCL   | $  139.99 | RSI: 41.3 | RS: -22.0% | Vol:0.04x | MACD: 
