BULLISH STOCK SCAN RESULTS
Date: 2026-04-03 11:33
SPY 20-day return: -3.48%

=== ALL SCANNED STOCKS (sorted by score) ===
symbol       price       rsi  macd_bull_cross  vol_ratio    ret_20d  rs_vs_spy  total_score
    MA  493.440002 47.512855             True   0.865786  -5.532799   1.591273    91.644653
  ADBE  242.919998 43.237521             True   0.556637 -14.350186   4.127217    88.915921
   PEP  157.009995 43.901392             True   0.850782  -1.517906   0.436561    84.602877
  NFLX   98.660004 59.198264             True   0.960749  -0.363556   0.104561    84.018734
     V  300.799988 42.905062             True   0.586280  -5.218048   1.500748    83.823669
  PYPL   45.340000 51.886785             True   0.723258  -3.470302   0.998084    83.081461
   DIS   96.610001 41.042788             True   0.571771  -4.855230   1.396399    82.627618
   IBM  248.160004 51.651445             True   0.660354  -4.129806   1.187762    82.342174
  AMZN  209.770004 51.948057             True   0.712280  -1.613434   0.464035    81.973672
  INTC   50.380001 59.358505             True   1.291991  16.029487  -4.610195    81.499818
  COST 1014.960022 53.540075             True   1.067002   1.689214  -0.485830    81.258373
  AAPL  255.919998 59.415598             True   0.780151  -0.598149   0.172032    80.337109
 GOOGL  295.769989 45.640816             True   0.727780  -0.851466   0.244888    79.861168
  NVDA  177.389999 46.896701             True   0.798578  -0.236420   0.067996    79.131108
    KO   76.720001 46.105554             True   0.913034   0.269373  -0.077474    77.409194
   CRM  187.179993 43.385610            False   0.888347  -7.387070   2.124574    63.875345
  META  574.460022 40.270847            False   0.786247 -10.840823   3.117899    63.822851
  TSLA  360.589996 38.636867            False   1.307370  -9.109473   2.619950    60.570216
  QCOM  126.800003 41.033223            False   0.645195  -6.551698   1.884315    56.963210
   AMD  217.500000 64.884547            False   1.126981  13.028118  -3.746980    52.757870
  MSFT  373.459991 33.788371            False   0.739616  -8.680556   2.496590    50.990405
  AVGO  314.549988 46.097773            False   0.509764  -4.620608   1.328920    50.244107
  ORCL  146.380005 40.063751            False   0.502320  -4.301779   1.237223    49.224677
    MU  366.239990 36.818731            False   1.009442  -1.054861   0.303386    47.736055
   BAC   49.380001 68.679797            False   0.634078   1.521385  -0.437561    40.435295
  AMAT  348.470001 52.762301            False   0.622996   7.307388  -2.101657    40.158238
   JPM  294.600006 63.710064            False   0.599292   1.768687  -0.508687    39.565628
   TXN  194.869995 54.849413            False   0.545548   0.848729  -0.244101    38.222026
    GS  863.039978 74.970642            False   0.768352   5.066835  -1.457258    33.792141
   WFC   80.599998 74.074074            False   0.547436   0.223825  -0.064374    28.269236

=== TOP 5 BULLISH STOCKS ===
INTC: Price=$50.38, RSI=59.4, RS vs SPY=-4.61x
   20d Return=16.0%, Vol Ratio=1.29x, MACD Bull Cross=Yes

